Fiscal_Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,Return_To_Prison,Recidivism_Type,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype
2010,2013,2,0,2,10,2,3,3,23,1,2,0,0,0
2010,2013,2,0,2,10,2,3,3,23,1,2,0,0,0
2010,2013,2,0,4,10,1,6,1,7,1,2,0,0,0
2010,2013,2,323,4,10,2,3,1,7,2,1,6,5,1
2010,2013,5,593,4,10,1,6,3,23,2,1,3,3,23
2010,2013,2,737,4,10,2,6,5,15,2,1,3,3,23
2010,2013,2,846,2,7,2,4,5,15,2,3,0,0,0
2010,2013,4,0,4,10,1,6,3,23,1,2,0,0,0
2010,2013,2,216,4,10,2,6,3,23,2,3,0,0,0
2010,2013,3,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,4,874,2,10,2,6,3,6,2,1,6,4,27
2010,2013,4,0,4,10,2,6,3,6,1,2,0,0,0
2010,2013,3,0,4,7,1,6,3,23,1,2,0,0,0
2010,2013,2,0,2,10,1,6,3,6,1,2,0,0,0
2010,2013,2,146,2,4,2,6,5,1,2,3,0,0,0
2010,2013,3,0,4,10,1,6,3,9,1,2,0,0,0
2010,2013,3,0,4,10,1,6,3,9,1,2,0,0,0
2010,2013,3,0,4,10,1,6,3,9,1,2,0,0,0
2010,2013,2,449,4,9,2,5,1,25,2,3,0,0,0
2010,2013,2,0,2,9,2,6,3,9,1,2,0,0,0
2010,2013,3,127,4,10,2,5,3,23,2,3,0,0,0
2010,2013,2,403,4,7,2,5,1,25,2,1,6,1,7
2010,2013,3,1085,4,10,2,5,1,25,2,3,0,0,0
2010,2013,2,949,2,10,2,3,3,23,2,1,6,3,23
2010,2013,3,0,2,9,1,6,3,23,1,2,0,0,0
2010,2013,5,0,2,7,2,6,1,25,1,2,0,0,0
2010,2013,3,0,2,10,2,5,3,6,1,2,0,0,0
2010,2013,3,0,2,10,2,5,3,6,1,2,0,0,0
2010,2013,3,0,2,10,2,5,3,6,1,2,0,0,0
2010,2013,4,734,4,7,2,7,3,23,2,3,0,0,0
