Fiscal _Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype,Return_To_Prison,Recidivism_Type
2010.0,2013.0,3.0,0.0,4.0,11.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,4.0,11.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,2.0,10.0,2.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,898.0,4.0,11.0,1.0,5.0,0.0,23.0,2.0,10.0,4.0,1.0,0.0
2010.0,2013.0,2.0,0.0,2.0,2.0,2.0,3.0,4.0,17.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,212.0,2.0,11.0,2.0,3.0,2.0,21.0,12.0,10.0,4.0,1.0,0.0
2010.0,2013.0,4.0,0.0,2.0,2.0,1.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,166.0,4.0,11.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,653.0,4.0,11.0,2.0,3.0,4.0,16.0,5.0,6.0,8.0,1.0,0.0
2010.0,2013.0,2.0,0.0,4.0,7.0,2.0,5.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,7.0,2.0,5.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,4.0,3.0,22.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,4.0,3.0,22.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,4.0,3.0,22.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,582.0,4.0,11.0,2.0,5.0,2.0,21.0,7.0,5.0,12.0,1.0,0.0
2010.0,2013.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,4.0,11.0,1.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,4.0,11.0,1.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,4.0,11.0,1.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,629.0,4.0,11.0,1.0,2.0,1.0,11.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,3.0,796.0,4.0,7.0,2.0,4.0,2.0,7.0,2.0,6.0,21.0,1.0,0.0
2010.0,2013.0,4.0,272.0,2.0,11.0,2.0,1.0,4.0,3.0,2.0,7.0,22.0,1.0,0.0
2010.0,2013.0,2.0,0.0,2.0,4.0,2.0,1.0,2.0,24.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,5.0,455.0,4.0,7.0,2.0,3.0,0.0,23.0,2.0,10.0,4.0,1.0,0.0
2010.0,2013.0,3.0,0.0,4.0,10.0,2.0,3.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,5.0,0.0,2.0,11.0,1.0,2.0,4.0,17.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,11.0,1.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,4.0,11.0,2.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,2.0,7.0,2.0,4.0,4.0,14.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,0.0,4.0,11.0,2.0,4.0,3.0,25.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,0.0,4.0,11.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,0.0,4.0,10.0,2.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,2.0,11.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0
